Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
13992212,6/22/2015 14:47:24,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,,Graphic Design; Video Editing; Community / Grassroots Organizing; Communications and Media; Advocacy and Policy
31983000,6/22/2015 14:49:19,Male,Pakistan,Pakistan,Faculty/teacher,Social Sciences - Economics and business,Open Education,Yes,Open Access Week,Video Editing; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
13516895,6/22/2015 14:49:29,Male,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,No,Open Access Week,Coding; Social Media Campaigns; Communications and Media; Blogging; Volunteer Management
79285028,6/22/2015 14:50:09,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week; Open Data Day,Social Media Campaigns; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
12962080,6/22/2015 14:51:27,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Education Week,Fundraising; Research about OpenCon's Issue Areas
24755666,6/22/2015 14:51:33,Male,Pakistan,Pakistan,Faculty/teacher,Social Sciences - Sociology,Open Education,No,,Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
55442338,6/22/2015 14:51:41,Female,Pakistan,Pakistan,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,Open Education Week,Coding; Graphic Design; Video Editing; Community / Grassroots Organizing; Communications and Media
73826307,6/22/2015 14:53:25,Male,Mauritius,Mauritius,Other: System Administrator,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Video Editing; Communications and Media
42249812,6/22/2015 14:53:31,Female,Lithuania,Lithuania,Faculty/teacher,Social Sciences - Media and communications,Open Education,No,,Communications and Media; Blogging; Research about OpenCon's Issue Areas
30670876,6/22/2015 14:56:49,Female,Ukraine,Ukraine,Faculty/teacher,Social Sciences - Political Science,Open Education,No,,Event Logistics
39135430,6/22/2015 14:58:04,Male,Rwanda,Rwanda,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy
26637464,6/22/2015 14:59:47,Male,Pakistan,Pakistan,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,Open Access Week,Video Editing; Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Event Logistics
26577308,6/22/2015 15:00:18,Male,Ghana,Ghana,Publisher,Social Sciences - Other social sciences,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
62831548,6/22/2015 15:00:29,Female,India,India,Researcher (non-faculty),Social Sciences - Other social sciences,Open Data,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Research about OpenCon's Issue Areas
24366014,6/22/2015 15:01:05,Female,United States of America,United States of America,Researcher (non-faculty),Natural Sciences - Earth and related environmental sciences,Open Access,Yes,Open Access Week,Website Management / Design; Graphic Design; Community / Grassroots Organizing; Event Logistics; Research about OpenCon's Issue Areas
35362923,6/22/2015 15:01:06,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Education Week,Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
41651671,6/22/2015 15:01:56,Female,Canada,Canada,"Other: M.Sc. until August, government-funded fellowship in September",Natural Sciences - Biological sciences,Open Access,Yes,Open Access Week,Website Management / Design; Graphic Design; Communications and Media; Blogging; Advocacy and Policy
26729214,6/22/2015 15:03:06,Male,Nigeria,Nigeria,Civil servant / government employee,Social Sciences - Economics and business,Open Education,No,Open Access Week; Open Data Day,Coding; Social Media Campaigns; Event Logistics; Volunteer Management
70654111,6/22/2015 15:04:22,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Video Editing; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
14343165,6/22/2015 15:05:10,Male,Zambia,Zambia,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Event Logistics
18135734,6/22/2015 15:05:20,Male,Nigeria,Nigeria,Other: Fresh Graduate,Engineering/Technology - Environmental engineering,Open Education,Yes,Open Education Week,Graphic Design; Community / Grassroots Organizing; Social Media Campaigns; Communications and Media
59686488,6/22/2015 15:10:50,Male,Nigeria,Nigeria,Faculty/teacher,"Agricultural Sciences - Agriculture, forestry, and fisheries",Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Volunteer Management; Research about OpenCon's Issue Areas
36300873,6/22/2015 15:12:56,Female,Hungary,Hungary,Researcher (non-faculty),Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,Yes,,Coding; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
96028072,6/22/2015 15:13:17,Male,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Earth and related environmental sciences,Open Access,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management
44720375,6/22/2015 15:13:58,Male,Burma,Burma,Other: civic tech community organizer,Social Sciences - Economics and business,Open Data,Yes,Open Education Week; Open Data Day,Coding; Community / Grassroots Organizing; Blogging; Event Logistics; Research about OpenCon's Issue Areas
13896193,6/22/2015 15:16:51,Female,Pakistan,Pakistan,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
31271167,6/22/2015 15:16:56,Female,Zimbabwe,South Africa,PhD candidate,Humanities - Other humanities,Open Education,No,,Community / Grassroots Organizing; Communications and Media; Blogging; Volunteer Management
30172660,6/22/2015 15:18:55,Female,Mexico,Mexico,Undergraduate student,Social Sciences - Sociology,Open Education,No,Open Education Week,Research about OpenCon's Issue Areas
24403139,6/22/2015 15:24:08,Male,Slovenia,Slovenia,Professional advocate,None of these describes my field of study or expertise,Open Education,Yes,Open Education Week,Website Management / Design; Graphic Design; Video Editing; Fundraising; Research about OpenCon's Issue Areas
27134627,6/22/2015 15:24:11,Female,Zambia,Zambia,Undergraduate student,Humanities - Other humanities,Open Education,No,Open Access Week,Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
32292089,6/22/2015 15:24:52,Male,Nigeria,Nigeria,Librarian,Social Sciences - Media and communications,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Video Editing; Community / Grassroots Organizing; Communications and Media; Blogging; Research about OpenCon's Issue Areas
20125483,6/22/2015 15:24:57,Female,India,United States of America,Masters/professional student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,No,,Coding; Website Management / Design
23046309,6/22/2015 15:26:01,Male,Nigeria,Nigeria,Faculty/teacher,Social Sciences - Educational sciences,Open Education,Yes,,Research about OpenCon's Issue Areas
36422513,6/22/2015 15:26:43,Male,Ethiopia,Ethiopia,Masters/professional student,Social Sciences - Law,Open Access,Yes,,Social Media Campaigns
16723312,6/22/2015 15:26:44,Female,Indonesia,Indonesia,Undergraduate student,Humanities - Languages and literature,Open Education,No,Open Education Week,Graphic Design; Video Editing; Social Media Campaigns; Fundraising; Communications and Media
18704047,6/22/2015 15:28:44,Female,United States of America,United States of America,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Data,No,,Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
33153705,6/22/2015 15:31:17,Male,Ecuador,Ecuador,Other: Science Communicator,None of these describes my field of study or expertise,Open Education,Yes,,Coding; Social Media Campaigns; Fundraising; Communications and Media; Research about OpenCon's Issue Areas
16207548,6/22/2015 15:31:41,Male,Ghana,Ghana,Undergraduate student,None of these describes my field of study or expertise,Open Education,No,Open Education Week,Community / Grassroots Organizing; Communications and Media; Volunteer Management
26404702,6/22/2015 15:35:12,Female,Country not listed,Country not listed,Other: Civil Society Program Associate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,No,Open Education Week; Open Data Day,Coding; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Research about OpenCon's Issue Areas
16200558,6/22/2015 15:36:15,Male,Pakistan,Brunei,PhD candidate,Engineering/Technology - Materials engineering,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Advocacy and Policy
10265227,6/22/2015 15:36:28,Female,Pakistan,Pakistan,Undergraduate student,Social Sciences - Economics and business,Open Education,No,Open Education Week,Social Media Campaigns; Fundraising; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
55480481,6/22/2015 15:37:15,Male,Canada,Canada,Masters/professional student,Medicine/Health Sciences - Other medical sciences,Open Data,Yes,Open Access Week; Open Data Day,Coding; Website Management / Design; Video Editing; Communications and Media
34597965,6/22/2015 15:37:48,Male,Brazil,Brazil,Researcher (non-faculty),Natural Sciences - Earth and related environmental sciences,Open Education,Yes,Open Data Day,Coding; Website Management / Design; Blogging
19145858,6/22/2015 15:44:23,Female,Russia,Russia,PhD candidate,Social Sciences - Economics and business,Open Education,Yes,,Event Logistics
53947548,6/22/2015 15:46:04,Male,Nigeria,Nigeria,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,,Community / Grassroots Organizing; Event Logistics; Volunteer Management
14033560,6/22/2015 15:49:05,Female,Armenia,Armenia,Masters/professional student,Social Sciences - Other social sciences,Open Education,No,Open Access Week; Open Education Week,Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
36821314,6/22/2015 15:52:17,Male,Nigeria,Nigeria,Other: Medical student (final),Medicine/Health Sciences - Health sciences,Open Access,No,Open Access Week,Graphic Design; Communications and Media; Event Logistics
36901237,6/22/2015 15:54:28,Female,United States of America,United States of America,Masters/professional student,None of these describes my field of study or expertise,Open Data,Yes,,Coding; Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management
17584711,6/22/2015 15:55:41,Male,Togo,Canada,PhD candidate,Social Sciences - Economics and business,Open Access,No,,
38410821,6/22/2015 15:57:05,Female,Kenya,Kenya,Undergraduate student,Social Sciences - Law,Open Education,No,,Social Media Campaigns; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
21754951,6/22/2015 15:58:56,Male,Rwanda,Rwanda,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Access Week,Website Management / Design; Community / Grassroots Organizing; Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
40141750,6/22/2015 15:59:44,Male,Moldova,Moldova,Civil servant / government employee,Social Sciences - Political Science,Open Data,Yes,Open Data Day,Community / Grassroots Organizing; Volunteer Management
22585921,6/22/2015 16:00:42,Male,Azerbaijan,Azerbaijan,Other: NGO practitioner,None of these describes my field of study or expertise,Open Data,Yes,Open Data Day,Advocacy and Policy; Research about OpenCon's Issue Areas
30852284,6/22/2015 16:03:16,Female,Nigeria,Nigeria,Civil servant / government employee,Engineering/Technology - Environmental engineering,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy
